,date,open,high,low,close,ticker,, 
7862,27/03/1998,143.45,143.45,143.45,143.45,SP500BDT,,
7863,30/03/1998,143.28,143.28,143.28,143.28,SP500BDT,,
7864,31/03/1998,143.69,143.69,143.69,143.69,SP500BDT,,
7865,01/04/1998,144.13,144.13,144.13,144.13,SP500BDT,,
7866,02/04/1998,144.62,144.62,144.62,144.62,SP500BDT,,
7867,03/04/1998,145.44,145.44,145.44,145.44,SP500BDT,,
7868,06/04/1998,145.1,145.1,145.1,145.1,SP500BDT,,
7869,07/04/1998,144.97,144.97,144.97,144.97,SP500BDT,,
7870,08/04/1998,144.53,144.53,144.53,144.53,SP500BDT,,
7871,09/04/1998,144.63,144.63,144.63,144.63,SP500BDT,,
7872,10/04/1998,144.66,144.66,144.66,144.66,SP500BDT,,
7873,13/04/1998,144.14,144.14,144.14,144.14,SP500BDT,,
7874,14/04/1998,144.47,144.47,144.47,144.47,SP500BDT,,
7875,15/04/1998,144.72,144.72,144.72,144.72,SP500BDT,,
7876,16/04/1998,144.93,144.93,144.93,144.93,SP500BDT,,
7877,17/04/1998,144.96,144.96,144.96,144.96,SP500BDT,,
7878,20/04/1998,144.6,144.6,144.6,144.6,SP500BDT,,
7879,21/04/1998,144.32,144.32,144.32,144.32,SP500BDT,,
7880,22/04/1998,144.32,144.32,144.32,144.32,SP500BDT,,
7881,23/04/1998,144.25,144.25,144.25,144.25,SP500BDT,,
7882,24/04/1998,144.56,144.56,144.56,144.56,SP500BDT,,
7883,27/04/1998,143.51,143.51,143.51,143.51,SP500BDT,,
7884,28/04/1998,143.5,143.5,143.5,143.5,SP500BDT,,
7885,29/04/1998,143.45,143.45,143.45,143.45,SP500BDT,,
7886,30/04/1998,144.56,144.56,144.56,144.56,SP500BDT,,
7887,01/05/1998,144.72,144.72,144.72,144.72,SP500BDT,,
7888,04/05/1998,144.77,144.77,144.77,144.77,SP500BDT,,
7889,05/05/1998,144.55,144.55,144.55,144.55,SP500BDT,,
7890,06/05/1998,144.88,144.88,144.88,144.88,SP500BDT,,
7891,07/05/1998,144.88,144.88,144.88,144.88,SP500BDT,,
7892,08/05/1998,144.62,144.62,144.62,144.62,SP500BDT,,
7893,11/05/1998,144.02,144.02,144.02,144.02,SP500BDT,,
7894,12/05/1998,144.72,144.72,144.72,144.72,SP500BDT,,
7895,13/05/1998,144.89,144.89,144.89,144.89,SP500BDT,,
7896,14/05/1998,144.71,144.71,144.71,144.71,SP500BDT,,
7897,15/05/1998,144.74,144.74,144.74,144.74,SP500BDT,,
7898,18/05/1998,145.23,145.23,145.23,145.23,SP500BDT,,
7899,19/05/1998,145.11,145.11,145.11,145.11,SP500BDT,,
7900,20/05/1998,145.49,145.49,145.49,145.49,SP500BDT,,
7901,21/05/1998,145.16,145.16,145.16,145.16,SP500BDT,,
7902,22/05/1998,145.39,145.39,145.39,145.39,SP500BDT,,
7903,25/05/1998,145.48,145.48,145.48,145.48,SP500BDT,,
7904,26/05/1998,145.94,145.94,145.94,145.94,SP500BDT,,
7905,27/05/1998,146.18,146.18,146.18,146.18,SP500BDT,,
7906,28/05/1998,146.11,146.11,146.11,146.11,SP500BDT,,
7907,29/05/1998,146.38,146.38,146.38,146.38,SP500BDT,,
7908,01/06/1998,146.61,146.61,146.61,146.61,SP500BDT,,
7909,02/06/1998,146.46,146.46,146.46,146.46,SP500BDT,,
7910,03/06/1998,146.41,146.41,146.41,146.41,SP500BDT,,
7911,04/06/1998,146.25,146.25,146.25,146.25,SP500BDT,,
7912,05/06/1998,146.37,146.37,146.37,146.37,SP500BDT,,
7913,08/06/1998,146.46,146.46,146.46,146.46,SP500BDT,,
7914,09/06/1998,146.45,146.45,146.45,146.45,SP500BDT,,
7915,10/06/1998,147.15,147.15,147.15,147.15,SP500BDT,,
7916,11/06/1998,147.76,147.76,147.76,147.76,SP500BDT,,
7917,12/06/1998,147.76,147.76,147.76,147.76,SP500BDT,,
7918,15/06/1998,148.16,148.16,148.16,148.16,SP500BDT,,
7919,16/06/1998,147.42,147.42,147.42,147.42,SP500BDT,,
7920,17/06/1998,146.54,146.54,146.54,146.54,SP500BDT,,
7921,18/06/1998,146.88,146.88,146.88,146.88,SP500BDT,,
7922,19/06/1998,147.14,147.14,147.14,147.14,SP500BDT,,
7923,22/06/1998,147.33,147.33,147.33,147.33,SP500BDT,,
7924,23/06/1998,147.52,147.52,147.52,147.52,SP500BDT,,
7925,24/06/1998,147.46,147.46,147.46,147.46,SP500BDT,,
7926,25/06/1998,147.48,147.48,147.48,147.48,SP500BDT,,
7927,26/06/1998,147.64,147.64,147.64,147.64,SP500BDT,,
7928,29/06/1998,147.57,147.57,147.57,147.57,SP500BDT,,
7929,30/06/1998,147.84,147.84,147.84,147.84,SP500BDT,,
7930,01/07/1998,147.89,147.89,147.89,147.89,SP500BDT,,
7931,02/07/1998,148.18,148.18,148.18,148.18,SP500BDT,,
7932,03/07/1998,148.21,148.21,148.21,148.21,SP500BDT,,
7933,06/07/1998,148.51,148.51,148.51,148.51,SP500BDT,,
7934,07/07/1998,148.34,148.34,148.34,148.34,SP500BDT,,
7935,08/07/1998,148.13,148.13,148.13,148.13,SP500BDT,,
7936,09/07/1998,148.33,148.33,148.33,148.33,SP500BDT,,
7937,10/07/1998,148.26,148.26,148.26,148.26,SP500BDT,,
7938,13/07/1998,147.87,147.87,147.87,147.87,SP500BDT,,
7939,14/07/1998,147.61,147.61,147.61,147.61,SP500BDT,,
7940,15/07/1998,147.73,147.73,147.73,147.73,SP500BDT,,
7941,16/07/1998,147.58,147.58,147.58,147.58,SP500BDT,,
7942,17/07/1998,147.45,147.45,147.45,147.45,SP500BDT,,
7943,20/07/1998,147.78,147.78,147.78,147.78,SP500BDT,,
7944,21/07/1998,148.12,148.12,148.12,148.12,SP500BDT,,
7945,22/07/1998,148.05,148.05,148.05,148.05,SP500BDT,,
7946,23/07/1998,148.25,148.25,148.25,148.25,SP500BDT,,
7947,24/07/1998,148.12,148.12,148.12,148.12,SP500BDT,,
7948,27/07/1998,148.06,148.06,148.06,148.06,SP500BDT,,
7949,28/07/1998,147.81,147.81,147.81,147.81,SP500BDT,,
7950,29/07/1998,147.59,147.59,147.59,147.59,SP500BDT,,
7951,30/07/1998,147.84,147.84,147.84,147.84,SP500BDT,,
7952,31/07/1998,147.81,147.81,147.81,147.81,SP500BDT,,
7953,03/08/1998,148.63,148.63,148.63,148.63,SP500BDT,,
7954,04/08/1998,148.76,148.76,148.76,148.76,SP500BDT,,
7955,05/08/1998,148.72,148.72,148.72,148.72,SP500BDT,,
7956,06/08/1998,148.54,148.54,148.54,148.54,SP500BDT,,
7957,07/08/1998,148.97,148.97,148.97,148.97,SP500BDT,,
7958,10/08/1998,148.98,148.98,148.98,148.98,SP500BDT,,
7959,11/08/1998,149.26,149.26,149.26,149.26,SP500BDT,,
7960,12/08/1998,149.08,149.08,149.08,149.08,SP500BDT,,
7961,13/08/1998,148.75,148.75,148.75,148.75,SP500BDT,,
7962,14/08/1998,149.22,149.22,149.22,149.22,SP500BDT,,
7963,17/08/1998,149.09,149.09,149.09,149.09,SP500BDT,,
7964,18/08/1998,148.71,148.71,148.71,148.71,SP500BDT,,
7965,19/08/1998,148.63,148.63,148.63,148.63,SP500BDT,,
